Pathway,MW-score,Acidobacteriota,Actinobacteriota,Alphaproteobacteria,Atribacterota,Bacteroidota,Caldisericota,Campylobacterota,Chloroflexota,Deinococcota,Desulfobacterota,Desulfobacterota_E,Firmicutes,Gammaproteobacteria,Gemmatimonadota,Halobacteriota,Methylomirabilota,Nitrospirota,Patescibacteria,Spirochaetota,Thermodesulfobiota,Thermoplasmatota,Thermoproteota,Verrucomicrobiota
CO oxidation,5,12,43.9,13.5,0.8,0.5,1.2,0,13.2,0.1,4.6,0,0.2,6.4,1.9,0,1.3,0,0,0,0.3,0,0,0
Amino acid utilization,8.9,10.9,36.8,12.7,0.4,1.9,0.7,0,9.8,0,4.7,4.2,0.6,8.1,2.9,1.9,1.5,0.2,0,0.1,0.2,0,2,0.3
Aromatics degradation,4.7,18,18.8,15.6,0,1.6,0,0.1,4,0,7.2,7.9,0.5,12.9,4.5,2.7,1.4,0.3,0,0,0,0.1,3.7,0.6
Complex carbon degradation,7.6,12.5,35,15,0.5,2.2,0,0.1,11.4,0,4.8,2.9,0.7,8,3.4,0.2,1.8,0.2,0,0.1,0.1,0.1,0.7,0.4
Fatty acid degradation,7.3,12.3,38.3,13.1,0.5,1.8,0,0,10.8,0,3.4,5.1,0.2,9.5,2.6,0,1.8,0.2,0,0,0,0.1,0.3,0
Formaldehyde oxidation,2.9,2.6,46.3,25.2,0,0,0,0,0,0,0,0,0.7,16.2,2.2,5.9,0,0,0,0,0,0,1,0
Formate oxidation,4.8,9.7,26.4,20.1,0.8,1.4,1.2,0,4.1,0,8.2,7.7,0.1,12.5,2.9,2.9,1.4,0.3,0,0,0.2,0.1,0,0
Methanol oxidation,1,4.3,5.4,69.2,0,0,0,0,0,0,0,0,0,10,11.1,0,0,0,0,0,0,0,0,0
CBB cycle (Rubisco),1.5,2.4,40.3,9.4,0,0,0,0,21.4,0,0,0,0,26.5,0,0,0,0,0,0,0,0,0,0
Reverse TCA cycle,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0,0,23,0,0,0,0,0,0,20.9,45.4
Wood-Ljungdahl pathway,1.9,6.5,38.5,0,0,0,0,0,5.6,0,18.5,19.1,0.6,0,0,8.8,0,0.8,0,0,0,0,1.4,0
Ethanol oxidation,1.8,9.9,50.7,30.5,0,0.3,0,0,0,0,0,0,2,6.6,0,0,0,0,0,0,0,0,0,0
Acetate oxidation,5.2,10.1,43.6,13.9,0,2.1,0,0.1,8.2,0,4.9,0,0.1,6.9,3.3,1.5,2.5,0,0,0,0,0.1,2.2,0.5
Hydrogen generation,2.3,8.7,45.6,3.8,1.7,5.7,0,0,10.6,0.1,10,0,1,0.9,0,7.1,3,0,0,0.2,0.8,0,0.3,0.4
Fermentation,8.7,11.3,36.9,13.1,0.5,1.9,0.7,0,8.6,0,4.9,4.3,0.6,8,3,2,1.5,0.2,0,0.1,0.1,0,1.8,0.3
Methanogenesis,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Methanotrophy,0.6,5.9,32.5,0,0,3.3,9.8,0,2.7,0,3.6,0,2.3,34.5,0,1.3,0,0,0.2,0,0,0,3.7,0
Hydrogen oxidation,3.4,16.7,41.4,16,0,1.1,0,0,5.3,0,7.4,4.4,0.1,4.9,0,0,2,0.5,0,0,0.2,0,0,0
N2 fixation - nifDK||vnfDKG||nifH,0.5,1.2,0,63.7,0,1.1,0,0.8,0,0,10.4,0,1.7,11,0,7.3,0,0,0,1,1.8,0,0,0
Ammonia oxidation,0.2,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,92.4,0
Nitrite oxidation,0.4,0,81.7,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,0,0,0,0,1,0,0
Nitrate reduction - napAB,0.1,31.9,5.4,0,0,0,0,0,0,0,17.7,0,0,6.5,38.4,0,0,0,0,0,0,0,0,0
Nitrate reduction - narGH,1.7,7.1,52,7.6,0,1.4,0,0,0.6,0,0,0,0,29.5,1.3,0.4,0,0,0,0,0,0,0,0
Nitrite reduction - nirKS,1.6,9.4,14.7,17.8,0,3.3,0,0,36.7,0,0.2,0,0,5.2,7.6,0,4.2,0,0,0,0,0.2,0,0.7
Nitrite reduction - octR,0.8,13.3,0,0,0,0,0,0,20.3,0,0,28.8,0,28.7,0,0,8.9,0,0,0,0,0,0,0
Nitric oxide reduction,2.7,24.1,32.6,15.9,0,2.2,0,0,0,0,0,13.6,0.2,6.1,2.5,0,2.5,0,0,0,0,0,0,0.4
Nitrous oxide reduction,0.7,15.3,47.2,0,0,4.4,0,0,4.6,0,0,0,0,0,26.1,0,0,0,0,0,0,0,0,2.4
Nitrite ammonification - nirBD,0.4,4.1,26.8,6.4,0,1.4,0,0,10.6,0,6.4,0,9,35.2,0,0,0,0,0,0,0,0,0,0
Nitrite ammonification - nrfADH,2,10.4,14.4,22,0,3.5,0,0,10.6,0,9,18.8,0.2,5.1,5.3,0.7,0,0,0,0,0,0,0,0
Sulfide oxidation - sqr,0.6,0,42.3,0,0,0,0,0.7,0,0,0,0,0,54,0,0,0,2.9,0,0,0,0,0,0
Sulfur oxidation - sdo,4.6,11.3,39.1,9.5,0.9,0.4,0,0,4.2,0,9,8.2,0.7,9.3,0,0.2,2.9,0.4,0,0,0,0.1,3.6,0.1
Sulfite oxidation,2.1,12.2,57.1,0,0,0,0,0,8.2,0,4.4,0,1,6,0,1,3.1,0.8,0,0,0,0,6.5,0
Sulfate reduction,2.1,12.2,57.1,0,0,0,0,0,8.2,0,4.4,0,1,6,0,1,3.1,0.8,0,0,0,0,6.5,0
Sulfite reduction - dsrABD,0.4,9,14.8,0,0,0,0,0,0,0,52.3,0,0,20,0,0,0,3.9,0,0,0,0,0,0
Thiosulfate oxidation,0.3,0,0,16.8,0,0,0,0,0,0,0,0,0,83.2,0,0,0,0,0,0,0,0,0,0
Thiosulfate disproportionation (to sulfate + sulfur),1.1,28.7,9.1,4,0,1.5,0,0,0,0,2.9,33.1,0,12.9,7.8,0,0,0,0,0,0,0,0,0
Thiosulfate disproportionation (to sulfite + hydrogen sulfide),0.4,20.9,25.8,0,0,3.3,0,0,3.9,0,28.7,0,0,10.6,0,0,0,0,0,0,0,0,6.7,0
Iron reduction,5.1,13.3,38.1,20,0,2.3,0,0,6.5,0,3.1,0,0.9,4.6,5.1,0.2,2.6,0.3,0,0.1,0,0,2.5,0.3
Iron oxidation:,2.6,26.8,6.3,16.1,0,3.2,0,0,6.8,0,1.4,0,0,27.5,4.4,0.5,5.1,0.6,0,0,0,0,1.1,0
Arsenate reduction,0.6,39.2,13.6,0,0,1.7,0,0,10.3,0,18.8,0,0,0,0,0,11.7,0,0,0,0,0,4.6,0
Arsenite oxidation,0.2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
Selenate reduction,1,32.1,12.6,4.9,3.8,4.2,6,0,17.8,0,16.3,0,0.5,0,0,0,0,0,0,0,1.7,0,0,0
